Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,121.351788,-108.9125,-90.0,top
C10,100n,C_0402_1005Metric,114.871788,-105.0125,180.0,top
C11,100n,C_0402_1005Metric,115.451788,-106.4375,-90.0,top
C12,1u,C_0402_1005Metric,115.264288,-113.475,90.0,top
C13,1u,C_0402_1005Metric,120.239288,-112.495,-90.0,top
C14,100n,C_0402_1005Metric,129.414288,-116.52,-90.0,top
C15,15p,C_0402_1005Metric,122.489288,-95.225,180.0,top
C16,15p,C_0402_1005Metric,120.351788,-91.2625,90.0,top
C2,1u,C_0402_1005Metric,117.101788,-108.2825,-90.0,top
C3,100n,C_0402_1005Metric,117.851788,-93.2625,90.0,top
C4,100n,C_0402_1005Metric,120.301788,-108.3125,-90.0,top
C5,100n,C_0402_1005Metric,126.339288,-105.2625,-90.0,top
C6,100n,C_0402_1005Metric,114.289288,-98.9725,90.0,top
C7,100n,C_0402_1005Metric,126.614288,-99.55,0.0,top
C8,1u,C_0402_1005Metric,116.101788,-108.3375,-90.0,top
C9,100n,C_0402_1005Metric,119.101788,-93.2625,90.0,top
J1,Conn_02x10_Odd_Even,PinSocket_2x10_P2.54mm_Vertical,125.962549,-122.935,90.0,bottom
J2,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Horizontal,149.179288,-121.375,-90.0,top
J3,Screw_Terminal_01x16,PinSocket_1x16_P2.54mm_Vertical,167.760712,-116.425,90.0,top
J4,Screw_Terminal_01x16,PinSocket_1x16_P2.54mm_Vertical,167.760712,-106.775,90.0,top
J5,Screw_Terminal_01x16,PinSocket_1x16_P2.54mm_Vertical,167.760712,-97.125,90.0,top
J6,Screw_Terminal_01x16,PinSocket_1x16_P2.54mm_Vertical,167.760712,-87.475,90.0,top
R1,22,R_0402_1005Metric,119.251788,-108.4375,90.0,top
R10,5.1k,R_0402_1005Metric,112.039288,-105.975,-90.0,top
R11,5.1k,R_0402_1005Metric,112.039288,-102.125,0.0,top
R2,22,R_0402_1005Metric,118.201788,-108.4375,90.0,top
R5,1k,R_0402_1005Metric,127.739288,-105.2625,90.0,top
R6,10k,R_0402_1005Metric,124.781788,-105.2825,-90.0,top
R7,1k,R_0402_1005Metric,120.351788,-93.2625,-90.0,top
SW1,GT-TC030A-H020-L1N,SW-SMD_4P-L3.6-W3.0-P1.50-LS4.7,109.149288,-116.2,0.0,top
SW2,GT-TC030A-H020-L1N,SW-SMD_4P-L3.6-W3.0-P1.50-LS4.7,109.149288,-111.7,0.0,top
U1,RP2040,LQFN-56_L7.0-W7.0-P0.4-EP,120.101788,-101.6125,180.0,top
U2,TLV73333PDBVR,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,117.739288,-112.975,180.0,top
U3,W25Q128JVSIQTR,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,125.744288,-112.975,180.0,top
USBC1,TYPE-C-31-M-12,USB-C_SMD-TYPE-C-31-M-12,107.524288,-103.7,-90.0,top
Y1,Q24FA20H0068700,CRYSTAL-SMD_4P-L2.5-W2.0-BL,122.601788,-92.725,90.0,top
